name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Ajani Goldmane|Pro Tour|PRO|Planeswalker — Ajani|||4|{2}{W}{W}|4|Christopher Moeller||W||5|R|£10/1/2007: The vigilance granted to a creature by the second ability remains until the end of the turn even if the +1/+1 counter is removed.££10/1/2007: The power and toughness of the Avatar created by the third ability will change as your life total changes.££7/1/2013: Planeswalkers are permanents. You can cast one at the time you could cast a sorcery. When your planeswalker spell resolves, it enters the battlefield under your control.££7/1/2013: Planeswalkers are not creatures. Spells and abilities that affect creatures won’t affect them.££7/1/2013: Planeswalkers have loyalty. A planeswalker enters the battlefield with a number of loyalty counters on it equal to the number printed in its lower right corner. Activating one of its abilities may cause it to gain or lose loyalty counters. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it. If it has no loyalty counters on it, it’s put into its owner’s graveyard as a state-based action.££7/1/2013: Planeswalkers each have a number of activated abilities called “loyalty abilities.” You can activate a loyalty ability of a planeswalker you control only at the time you could cast a sorcery and only if you haven’t activated one of that planeswalker’s loyalty abilities yet that turn.££7/1/2013: The cost to activate a planeswalker’s loyalty ability is represented by a symbol with a number inside. Up-arrows contain positive numbers, such as “+1”; this means “Put one loyalty counter on this planeswalker.” Down-arrows contain negative numbers, such as “-7”; this means “Remove seven loyalty counters from this planeswalker.” A symbol with a “0” means “Put zero loyalty counters on this planeswalker.”££7/1/2013: You can’t activate a planeswalker’s ability with a negative loyalty cost unless the planeswalker has at least that many loyalty counters on it.££7/1/2013: Planeswalkers can’t attack (unless an effect turns the planeswalker into a creature). However, they can be attacked. Each of your attacking creatures can attack your opponent or a planeswalker that player controls. You say which as you declare attackers.££7/1/2013: If your planeswalkers are being attacked, you can block the attackers as normal.££7/1/2013: If a creature that’s attacking a planeswalker isn’t blocked, it’ll deal its combat damage to that planeswalker. Damage dealt to a planeswalker causes that many loyalty counters to be removed from it.££7/1/2013: If a source you control would deal noncombat damage to an opponent, you may have that source deal that damage to a planeswalker that opponent controls instead. For example, although you can’t target a planeswalker with Shock, you can target your opponent with Shock, and then as Shock resolves, choose to have Shock deal its 2 damage to one of your opponent’s planeswalkers. (You can’t split up that damage between different players and/or planeswalkers.) If you have Shock deal its damage to a planeswalker, two loyalty counters are removed from it.££7/1/2013: If a player controls two or more planeswalkers that share a planeswalker type, that player chooses one of them and the rest are put into their owners’ graveyards as a state-based action.||"+1: You gain 2 life.£-1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.£-6: Put a white Avatar creature token onto the battlefield. It has ""This creature's power and toughness are each equal to your life total."""||
Avatar of Woe|Pro Tour|PRO|Creature — Avatar|6|5||{6}{B}{B}|8|rk post||B||4|R|£10/4/2004: The converted mana cost of this card is still 8, even if you only pay {B}{B} to cast it.||If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.£Fear #_(This creature can't be blocked except by artifact creatures and/or black creatures.)_#£{T}: Destroy target creature. It can't be regenerated.||
Eternal Dragon|Pro Tour|PRO|Creature — Dragon Spirit|5|5||{5}{W}{W}|7|Adam Rex||W||1|R|£2/1/2009: Unlike the normal cycling ability, Plainscycling doesn't allow you to draw a card. Instead, it lets you search your library for a Plains card. After you find a Plains card in your library, you reveal it, put it into your hand, then shuffle your library.££2/1/2009: Plainscycling is a form of cycling. Any ability that triggers on a card being cycled also triggers on Plainscycling this card. Any ability that stops a cycling ability from being activated also stops Plainscycling from being activated.££2/1/2009: Plainscycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with Plainscycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.££2/1/2009: You can choose to find any card with the Plains land type, including nonbasic lands. You can also choose not to find a card, even if there is a Plains card in your library.||Flying£{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.£Plainscycling {2} #_({2}, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)_#||
Mirari's Wake|Pro Tour|PRO|Enchantment||||{3}{W}{G}|5|Volkan Baga|#_The land drank power from the Mirari as though it had thirsted forever._#|GW|{W}{U}{B}{R}{G}|2|R|||Creatures you control get +1/+1.£Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced.||
Treva, the Renewer|Pro Tour|PRO|Legendary Creature — Dragon|6|6||{3}{W}{U}{G}|6|Jean-Sébastien Rossbach||GWU||3|R|£10/4/2004: You choose the color during resolution. This means your opponent does not get to react after knowing the color you chose.||Flying£Whenever Treva, the Renewer deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.||
Black Sun's Zenith|Magic Game Day Cards|GDC|Sorcery||||{X}{B}{B}|2|James Paick|"#_""Under the suns, Mirrodin kneels and begs us for perfection.""—Geth, Lord of the Vault_#"|B||7|R|£6/1/2011: If this spell is countered, none of its effects occur. In particular, it will go to the graveyard rather than to its owner's library.||Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.||
Cryptborn Horror|Magic Game Day Cards|GDC|Creature — Horror|0|0||{1}{BR}{BR}|3|Nils Hamm|#_Although Cryptwitch Merree vanished after a spat with Rakdos, her playthings lingered._#|RB||22|R|£10/1/2012: Remember, damage dealt to a player causes that player to lose that much life (unless the source has infect).££10/1/2012: If no opponent has lost life on the turn <u>Cryptborn Horror</u> enters the battlefield, it will enter with no +1/+1 counters on it and be put into its owner's graveyard (unless something else is raising its toughness).££10/1/2012: <u>Cryptborn Horror</u> cares about the total life lost, not necessarily what an opponent's life total is compared to what it was at the beginning of the turn. For example, if an opponent loses 5 life and then gains 10 life on the turn <u>Cryptborn Horror</u> enters the battlefield, it will enter with five +1/+1 counters on it.££10/1/2012: In multiplayer games, life lost the turn <u>Cryptborn Horror</u> enters the battlefield by opponents who left the game later that turn will count toward the value of X.||Trample£Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.||
Diregraf Ghoul|Magic Game Day Cards|GDC|Creature — Zombie|2|2||{B}|1|Austin Hsu||B||12|R|||Diregraf Ghoul enters the battlefield tapped.||
Dryad Militant|Magic Game Day Cards|GDC|Creature — Dryad Soldier|2|1||{GW}|1|Ryan Pancoast|"#_""We will defend the Worldsoul from Izzet ‘progress' at any cost.""_#"|GW||23|R|£10/1/2012: If an instant or sorcery spell destroys <u>Dryad Militant</u> directly (like Murder does), that instant or sorcery card will be put into its owner's graveyard. However, if an instant or sorcery card deals lethal damage to <u>Dryad Militant</u>, <u>Dryad Militant</u> will remain on the battlefield until the next time state-based actions are checked, which is after the instant or sorcery finishes resolving. The instant or sorcery will be exiled.££10/1/2012: If an instant or sorcery card is discarded while <u>Dryad Militant</u> is on the battlefield, abilities that function when a card is discarded (such as madness) still work, even though that card never reaches a graveyard. In addition, spells or abilities that check the characteristics of a discarded card (such as Chandra Ablaze's first ability) can find that card in exile.||If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead.||
Dungrove Elder|Magic Game Day Cards|GDC|Creature — Treefolk|*|*||{2}{G}|3|Scott Chou|#_All the trees of the forest are his army, and every leaf his shield._#|G||11|R|£9/22/2011: <u>Dungrove Elder</u>'s power and toughness are each equal to the number of lands you control with the land type Forest, not necessarily lands named Forest.££9/22/2011: <u>Dungrove Elder</u>'s power and toughness will change as the number of Forests you control changes.££9/22/2011: <u>Dungrove Elder</u>'s ability sets its power and toughness in all zones, not just the battlefield.||Hexproof #_(This creature can't be the target of spells or abilities your opponents control.)_#£Dungrove Elder's power and toughness are each equal to the number of Forests you control.||Doyen de Brunbosquet
