Aladdin's Lamp|Fourth Edition|4|2014
Aladdin's Ring|Fourth Edition|4|2015
Amulet of Kroog|Fourth Edition|4|2016
Ankh of Mishra|Fourth Edition|4|2017
Armageddon Clock|Fourth Edition|4|2018
Ashnod's Battle Gear|Fourth Edition|4|2019
Battering Ram|Fourth Edition|4|2020
Black Mana Battery|Fourth Edition|4|2021
Black Vise|Fourth Edition|4|2022
Blue Mana Battery|Fourth Edition|4|2023
Bottle of Suleiman|Fourth Edition|4|2024
Brass Man|Fourth Edition|4|2025
Bronze Tablet|Fourth Edition|4|2026
Celestial Prism|Fourth Edition|4|2027
Clay Statue|Fourth Edition|4|2028
Clockwork Avian|Fourth Edition|4|2029
Clockwork Beast|Fourth Edition|4|2030
Colossus of Sardia|Fourth Edition|4|2031
Conservator|Fourth Edition|4|2032
Coral Helm|Fourth Edition|4|2033
Crystal Rod|Fourth Edition|4|2034
Cursed Rack|Fourth Edition|4|2035
Dancing Scimitar|Fourth Edition|4|2036
Diabolic Machine|Fourth Edition|4|2037
Dingus Egg|Fourth Edition|4|2038
Disrupting Scepter|Fourth Edition|4|2039
Dragon Engine|Fourth Edition|4|2040
Ebony Horse|Fourth Edition|4|2041
Fellwar Stone|Fourth Edition|4|2042
Flying Carpet|Fourth Edition|4|2043
Glasses of Urza|Fourth Edition|4|2044
Grapeshot Catapult|Fourth Edition|4|2045
Green Mana Battery|Fourth Edition|4|2046
Helm of Chatzuk|Fourth Edition|4|2047
Howling Mine|Fourth Edition|4|2048
Iron Star|Fourth Edition|4|2049
Ivory Cup|Fourth Edition|4|2050
Ivory Tower|Fourth Edition|4|2051
Jade Monolith|Fourth Edition|4|2052
Jandor's Saddlebags|Fourth Edition|4|2053
Jayemdae Tome|Fourth Edition|4|2054
Kormus Bell|Fourth Edition|4|2055
Library of Leng|Fourth Edition|4|2056
Mana Vault|Fourth Edition|4|2057
Meekstone|Fourth Edition|4|2058
Millstone|Fourth Edition|4|2059
Mishra's War Machine|Fourth Edition|4|2060
Nevinyrral's Disk|Fourth Edition|4|2061
Obsianus Golem|Fourth Edition|4|2062
Onulet|Fourth Edition|4|2063
Ornithopter|Fourth Edition|4|2064
Primal Clay|Fourth Edition|4|2065
Red Mana Battery|Fourth Edition|4|2066
Rod of Ruin|Fourth Edition|4|2067
Shapeshifter|Fourth Edition|4|2068
Soul Net|Fourth Edition|4|2069
Sunglasses of Urza|Fourth Edition|4|2070
Tawnos's Wand|Fourth Edition|4|2071
Tawnos's Weaponry|Fourth Edition|4|2072
Tetravus|Fourth Edition|4|2073
The Hive|Fourth Edition|4|2074
The Rack|Fourth Edition|4|2075
Throne of Bone|Fourth Edition|4|2076
Triskelion|Fourth Edition|4|2077
Urza's Avenger|Fourth Edition|4|2078
Wall of Spears|Fourth Edition|4|2079
White Mana Battery|Fourth Edition|4|2080
Winter Orb|Fourth Edition|4|2081
Wooden Sphere|Fourth Edition|4|2082
Yotian Soldier|Fourth Edition|4|2083
Abomination|Fourth Edition|4|2084
Animate Dead|Fourth Edition|4|2085
Ashes to Ashes|Fourth Edition|4|2086
Bad Moon|Fourth Edition|4|2087
Black Knight|Fourth Edition|4|2088
Blight|Fourth Edition|4|2089
Bog Imp|Fourth Edition|4|2090
Bog Wraith|Fourth Edition|4|2091
Carrion Ants|Fourth Edition|4|2092
Cosmic Horror|Fourth Edition|4|2093
Cursed Land|Fourth Edition|4|2094
Cyclopean Mummy|Fourth Edition|4|2095
Dark Ritual|Fourth Edition|4|2096
Deathgrip|Fourth Edition|4|2097
Deathlace|Fourth Edition|4|2098
Drain Life|Fourth Edition|4|2099
Drudge Skeletons|Fourth Edition|4|2100
El-Hajjâj|Fourth Edition|4|2101
Erg Raiders|Fourth Edition|4|2102
Evil Presence|Fourth Edition|4|2103
Fear|Fourth Edition|4|2104
Frozen Shade|Fourth Edition|4|2105
Gloom|Fourth Edition|4|2106
Greed|Fourth Edition|4|2107
Howl from Beyond|Fourth Edition|4|2108
Hypnotic Specter|Fourth Edition|4|2109
Junún Efreet|Fourth Edition|4|2110
Lord of the Pit|Fourth Edition|4|2111
Lost Soul|Fourth Edition|4|2112
Marsh Gas|Fourth Edition|4|2113
Mind Twist|Fourth Edition|4|2114
Murk Dwellers|Fourth Edition|4|2115
Nether Shadow|Fourth Edition|4|2116
Nightmare|Fourth Edition|4|2117
Paralyze|Fourth Edition|4|2118
Pestilence|Fourth Edition|4|2119
Pit Scorpion|Fourth Edition|4|2120
Plague Rats|Fourth Edition|4|2121
Rag Man|Fourth Edition|4|2122
