Anathemancer|Alara Reborn|ARB|179538
Architects of Will|Alara Reborn|ARB|179597
Ardent Plea|Alara Reborn|ARB|185054
Arsenal Thresher|Alara Reborn|ARB|189652
Aven Mimeomancer|Alara Reborn|ARB|180608
Bant Sojourners|Alara Reborn|ARB|188963
Bant Sureblade|Alara Reborn|ARB|188975
Behemoth Sledge|Alara Reborn|ARB|179545
Bituminous Blast|Alara Reborn|ARB|185057
Blitz Hellion|Alara Reborn|ARB|179406
Bloodbraid Elf|Alara Reborn|ARB|185053
Brainbite|Alara Reborn|ARB|179607
Breath of Malfegor|Alara Reborn|ARB|161291
Captured Sunlight|Alara Reborn|ARB|185064
Cerodon Yearling|Alara Reborn|ARB|180604
Cloven Casting|Alara Reborn|ARB|189653
Colossal Might|Alara Reborn|ARB|179624
Crystallization|Alara Reborn|ARB|179621
Dauntless Escort|Alara Reborn|ARB|180614
Deadshot Minotaur|Alara Reborn|ARB|179543
Deathbringer Thoctar|Alara Reborn|ARB|180622
Defiler of Souls|Alara Reborn|ARB|189646
Demonic Dread|Alara Reborn|ARB|185062
Demonspine Whip|Alara Reborn|ARB|180311
Deny Reality|Alara Reborn|ARB|185045
Double Negative|Alara Reborn|ARB|179544
Dragon Appeasement|Alara Reborn|ARB|180616
Dragon Broodmother|Alara Reborn|ARB|189648
Drastic Revelation|Alara Reborn|ARB|179587
Enigma Sphinx|Alara Reborn|ARB|180597
Enlisted Wurm|Alara Reborn|ARB|185047
Esper Sojourners|Alara Reborn|ARB|188967
Esper Stormblade|Alara Reborn|ARB|188968
Ethercaste Knight|Alara Reborn|ARB|179542
Etherium Abomination|Alara Reborn|ARB|179573
Ethersworn Shieldmage|Alara Reborn|ARB|179578
Etherwrought Page|Alara Reborn|ARB|179618
Fieldmist Borderpost|Alara Reborn|ARB|183005
Fight to the Death|Alara Reborn|ARB|179562
Filigree Angel|Alara Reborn|ARB|188965
Finest Hour|Alara Reborn|ARB|180609
Firewild Borderpost|Alara Reborn|ARB|188974
Flurry of Wings|Alara Reborn|ARB|179605
Giant Ambush Beetle|Alara Reborn|ARB|179598
Glassdust Hulk|Alara Reborn|ARB|179576
Glory of Warfare|Alara Reborn|ARB|179611
Gloryscale Viashino|Alara Reborn|ARB|189654
Godtracker of Jund|Alara Reborn|ARB|183994
Gorger Wurm|Alara Reborn|ARB|179561
Grixis Grimblade|Alara Reborn|ARB|188976
Grixis Sojourners|Alara Reborn|ARB|188972
Grizzled Leotau|Alara Reborn|ARB|189647
Identity Crisis|Alara Reborn|ARB|175109
Igneous Pouncer|Alara Reborn|ARB|144276
Illusory Demon|Alara Reborn|ARB|179596
Intimidation Bolt|Alara Reborn|ARB|179568
Jenara, Asura of War|Alara Reborn|ARB|180605
Jhessian Zombies|Alara Reborn|ARB|144286
Jund Hackblade|Alara Reborn|ARB|188973
Jund Sojourners|Alara Reborn|ARB|188966
Karrthus, Tyrant of Jund|Alara Reborn|ARB|180587
Kathari Bomber|Alara Reborn|ARB|179602
Kathari Remnant|Alara Reborn|ARB|185060
Knight of New Alara|Alara Reborn|ARB|189642
Knotvine Paladin|Alara Reborn|ARB|180624
Lavalanche|Alara Reborn|ARB|180612
Leonin Armorguard|Alara Reborn|ARB|180606
Lich Lord of Unx|Alara Reborn|ARB|179555
Lightning Reaver|Alara Reborn|ARB|180617
Lord of Extinction|Alara Reborn|ARB|177922
Lorescale Coatl|Alara Reborn|ARB|179633
Madrush Cyclops|Alara Reborn|ARB|180625
Maelstrom Nexus|Alara Reborn|ARB|179540
Maelstrom Pulse|Alara Reborn|ARB|180613
Mage Slayer|Alara Reborn|ARB|179567
Magefire Wings|Alara Reborn|ARB|179591
Marisi's Twinclaws|Alara Reborn|ARB|179585
Marrow Chomper|Alara Reborn|ARB|183014
Mask of Riddles|Alara Reborn|ARB|179584
Mayael's Aria|Alara Reborn|ARB|180620
Meddling Mage|Alara Reborn|ARB|179547
Messenger Falcons|Alara Reborn|ARB|189644
Mind Funeral|Alara Reborn|ARB|179599
Mistvein Borderpost|Alara Reborn|ARB|161276
Monstrous Carabid|Alara Reborn|ARB|185051
Morbid Bloom|Alara Reborn|ARB|179614
Mycoid Shepherd|Alara Reborn|ARB|179548
Naya Hushblade|Alara Reborn|ARB|188969
Naya Sojourners|Alara Reborn|ARB|188970
Necromancer's Covenant|Alara Reborn|ARB|183011
Nemesis of Reason|Alara Reborn|ARB|188962
Nulltread Gargantuan|Alara Reborn|ARB|179580
Offering to Asha|Alara Reborn|ARB|183007
Pale Recluse|Alara Reborn|ARB|144249
Predatory Advantage|Alara Reborn|ARB|180602
Putrid Leech|Alara Reborn|ARB|179612
Qasali Pridemage|Alara Reborn|ARB|179556
Reborn Hope|Alara Reborn|ARB|175256
Retaliator Griffin|Alara Reborn|ARB|147530
Rhox Brute|Alara Reborn|ARB|189650
Sages of the Anima|Alara Reborn|ARB|180601
Sanctum Plowbeast|Alara Reborn|ARB|144282
Sangrite Backlash|Alara Reborn|ARB|179553
Sanity Gnawers|Alara Reborn|ARB|179623
Sen Triplets|Alara Reborn|ARB|180607
Sewn-Eye Drake|Alara Reborn|ARB|179594
Shield of the Righteous|Alara Reborn|ARB|185063
Sigil Captain|Alara Reborn|ARB|179560
Sigil of the Nayan Gods|Alara Reborn|ARB|179630
Sigiled Behemoth|Alara Reborn|ARB|159688
Singe-Mind Ogre|Alara Reborn|ARB|179574
